"";"Region";"aldersgruppe";"value"
"945";"3122";"0-15";579
"946";"3122";"16-24";322
"947";"3122";"25-34";376
"948";"3122";"35-44";385
"949";"3122";"45-54";463
"950";"3122";"55-64";571
"951";"3122";"65-74";457
"952";"3122";"75 og eldre";505
"953";"3124";"0-15";200
"954";"3124";"16-24";123
"955";"3124";"25-34";138
"956";"3124";"35-44";124
"957";"3124";"45-54";175
"958";"3124";"55-64";238
"959";"3124";"65-74";187
"960";"3124";"75 og eldre";162
"961";"3201";"0-15";25899
"962";"3201";"16-24";13590
"963";"3201";"25-34";13370
"964";"3201";"35-44";18667
"965";"3201";"45-54";18875
"966";"3201";"55-64";16748
"967";"3201";"65-74";12175
"968";"3201";"75 og eldre";11597
"969";"3203";"0-15";19290
"970";"3203";"16-24";10288
"971";"3203";"25-34";9905
"972";"3203";"35-44";13843
"973";"3203";"45-54";14473
"974";"3203";"55-64";13224
"975";"3203";"65-74";9267
"976";"3203";"75 og eldre";8525
"977";"3205";"0-15";17498
"978";"3205";"16-24";10384
"979";"3205";"25-34";12921
"980";"3205";"35-44";13639
"981";"3205";"45-54";13733
"982";"3205";"55-64";11474
"983";"3205";"65-74";7495
"984";"3205";"75 og eldre";7057
"985";"3207";"0-15";12653
"986";"3207";"16-24";6871
"987";"3207";"25-34";6995
"988";"3207";"35-44";8788
"989";"3207";"45-54";9217
"990";"3207";"55-64";7795
"991";"3207";"65-74";5681
"992";"3207";"75 og eldre";5560
"993";"3209";"0-15";8785
"994";"3209";"16-24";4821
"995";"3209";"25-34";6183
"996";"3209";"35-44";6782
"997";"3209";"45-54";6478
"998";"3209";"55-64";4929
"999";"3209";"65-74";3133
"1000";"3209";"75 og eldre";2703
"1001";"3212";"0-15";4164
"1002";"3212";"16-24";1970
"1003";"3212";"25-34";1809
"1004";"3212";"35-44";2878
"1005";"3212";"45-54";3064
"1006";"3212";"55-64";2812
"1007";"3212";"65-74";2157
"1008";"3212";"75 og eldre";1667
"1009";"3214";"0-15";2617
"1010";"3214";"16-24";1652
"1011";"3214";"25-34";1520
"1012";"3214";"35-44";1751
"1013";"3214";"45-54";2437
"1014";"3214";"55-64";2611
"1015";"3214";"65-74";1886
"1016";"3214";"75 og eldre";1770
"1017";"3216";"0-15";3918
"1018";"3216";"16-24";1944
"1019";"3216";"25-34";2058
"1020";"3216";"35-44";2717
"1021";"3216";"45-54";2976
"1022";"3216";"55-64";2376
"1023";"3216";"65-74";1850
"1024";"3216";"75 og eldre";1654
"1025";"3218";"0-15";4049
"1026";"3218";"16-24";2923
"1027";"3218";"25-34";3341
"1028";"3218";"35-44";3178
"1029";"3218";"45-54";2791
"1030";"3218";"55-64";2482
"1031";"3218";"65-74";1630
"1032";"3218";"75 og eldre";1611
"1033";"3220";"0-15";2204
"1034";"3220";"16-24";1186
"1035";"3220";"25-34";1229
"1036";"3220";"35-44";1674
"1037";"3220";"45-54";1831
"1038";"3220";"55-64";1487
"1039";"3220";"65-74";1027
"1040";"3220";"75 og eldre";844
"1041";"3222";"0-15";9018
"1042";"3222";"16-24";5142
"1043";"3222";"25-34";7356
"1044";"3222";"35-44";7057
"1045";"3222";"45-54";6468
"1046";"3222";"55-64";5630
"1047";"3222";"65-74";4033
"1048";"3222";"75 og eldre";3484
"1049";"3224";"0-15";4123
"1050";"3224";"16-24";2108
"1051";"3224";"25-34";2624
"1052";"3224";"35-44";3210
"1053";"3224";"45-54";2908
"1054";"3224";"55-64";2326
"1055";"3224";"65-74";1487
"1056";"3224";"75 og eldre";1313
"1057";"3226";"0-15";3160
"1058";"3226";"16-24";1675
"1059";"3226";"25-34";1963
"1060";"3226";"35-44";2392
"1061";"3226";"45-54";2651
"1062";"3226";"55-64";2490
"1063";"3226";"65-74";1912
"1064";"3226";"75 og eldre";1815
"1065";"3228";"0-15";4627
"1066";"3228";"16-24";2328
"1067";"3228";"25-34";3033
"1068";"3228";"35-44";3503
"1069";"3228";"45-54";3477
"1070";"3228";"55-64";3293
"1071";"3228";"65-74";2495
"1072";"3228";"75 og eldre";1889
"1073";"3230";"0-15";1351
"1074";"3230";"16-24";793
"1075";"3230";"25-34";794
"1076";"3230";"35-44";997
"1077";"3230";"45-54";1161
"1078";"3230";"55-64";1062
"1079";"3230";"65-74";641
"1080";"3230";"75 og eldre";599
"1081";"3232";"0-15";5382
"1082";"3232";"16-24";2699
"1083";"3232";"25-34";2745
"1084";"3232";"35-44";3768
"1085";"3232";"45-54";4099
"1086";"3232";"55-64";3294
"1087";"3232";"65-74";2007
"1088";"3232";"75 og eldre";1888
"1089";"3234";"0-15";1631
"1090";"3234";"16-24";893
"1091";"3234";"25-34";1009
"1092";"3234";"35-44";1244
"1093";"3234";"45-54";1343
"1094";"3234";"55-64";1298
"1095";"3234";"65-74";1105
"1096";"3234";"75 og eldre";834
"1097";"3236";"0-15";1212
"1098";"3236";"16-24";636
"1099";"3236";"25-34";846
"1100";"3236";"35-44";886
"1101";"3236";"45-54";932
"1102";"3236";"55-64";1002
"1103";"3236";"65-74";803
"1104";"3236";"75 og eldre";720
"1105";"3238";"0-15";3163
"1106";"3238";"16-24";1706
"1107";"3238";"25-34";2359
"1108";"3238";"35-44";2484
"1109";"3238";"45-54";2353
"1110";"3238";"55-64";1830
"1111";"3238";"65-74";1224
"1112";"3238";"75 og eldre";1007
"1113";"3240";"0-15";5378
"1114";"3240";"16-24";2791
"1115";"3240";"25-34";3558
"1116";"3240";"35-44";4266
"1117";"3240";"45-54";3825
"1118";"3240";"55-64";3380
"1119";"3240";"65-74";2647
"1120";"3240";"75 og eldre";2071
"1121";"3242";"0-15";538
"1122";"3242";"16-24";260
"1123";"3242";"25-34";335
"1124";"3242";"35-44";406
"1125";"3242";"45-54";420
"1126";"3242";"55-64";408
"1127";"3242";"65-74";370
"1128";"3242";"75 og eldre";304
"1129";"3301";"0-15";18145
"1130";"3301";"16-24";11167
"1131";"3301";"25-34";13868
"1132";"3301";"35-44";14599
"1133";"3301";"45-54";14775
"1134";"3301";"55-64";12713
"1135";"3301";"65-74";9759
"1136";"3301";"75 og eldre";9461
"1137";"3303";"0-15";4918
"1138";"3303";"16-24";3104
"1139";"3303";"25-34";3451
"1140";"3303";"35-44";3783
"1141";"3303";"45-54";4065
"1142";"3303";"55-64";3631
"1143";"3303";"65-74";3082
"1144";"3303";"75 og eldre";2814
"1145";"3305";"0-15";5039
"1146";"3305";"16-24";3146
"1147";"3305";"25-34";3848
"1148";"3305";"35-44";3960
"1149";"3305";"45-54";4362
"1150";"3305";"55-64";4266
"1151";"3305";"65-74";3765
"1152";"3305";"75 og eldre";3195
"1153";"3310";"0-15";1365
"1154";"3310";"16-24";631
"1155";"3310";"25-34";621
"1156";"3310";"35-44";988
"1157";"3310";"45-54";1040
"1158";"3310";"55-64";968
"1159";"3310";"65-74";770
"1160";"3310";"75 og eldre";606
"1161";"3312";"0-15";5462
"1162";"3312";"16-24";2849
"1163";"3312";"25-34";3141
"1164";"3312";"35-44";4175
"1165";"3312";"45-54";4194
"1166";"3312";"55-64";3707
"1167";"3312";"65-74";2636
"1168";"3312";"75 og eldre";2306
"1169";"3314";"0-15";3709
"1170";"3314";"16-24";2068
"1171";"3314";"25-34";2715
"1172";"3314";"35-44";2810
"1173";"3314";"45-54";2885
"1174";"3314";"55-64";2618
"1175";"3314";"65-74";2123
"1176";"3314";"75 og eldre";1851
"1177";"3316";"0-15";2453
"1178";"3316";"16-24";1421
"1179";"3316";"25-34";1676
"1180";"3316";"35-44";1927
"1181";"3316";"45-54";1937
"1182";"3316";"55-64";1936
"1183";"3316";"65-74";1822
"1184";"3316";"75 og eldre";1493
"1185";"3318";"0-15";383
"1186";"3318";"16-24";186
"1187";"3318";"25-34";215
"1188";"3318";"35-44";318
"1189";"3318";"45-54";296
"1190";"3318";"55-64";309
"1191";"3318";"65-74";313
"1192";"3318";"75 og eldre";221
"1193";"3320";"0-15";172
"1194";"3320";"16-24";105
"1195";"3320";"25-34";154
"1196";"3320";"35-44";116
"1197";"3320";"45-54";139
"1198";"3320";"55-64";156
"1199";"3320";"65-74";148
"1200";"3320";"75 og eldre";125
"1201";"3322";"0-15";449
"1202";"3322";"16-24";314
"1203";"3322";"25-34";360
"1204";"3322";"35-44";328
"1205";"3322";"45-54";457
"1206";"3322";"55-64";481
"1207";"3322";"65-74";486
"1208";"3322";"75 og eldre";426
"1209";"3324";"0-15";771
"1210";"3324";"16-24";535
"1211";"3324";"25-34";562
"1212";"3324";"35-44";628
"1213";"3324";"45-54";687
"1214";"3324";"55-64";697
"1215";"3324";"65-74";524
"1216";"3324";"75 og eldre";582
"1217";"3326";"0-15";465
"1218";"3326";"16-24";227
"1219";"3326";"25-34";356
"1220";"3326";"35-44";434
"1221";"3326";"45-54";412
"1222";"3326";"55-64";336
"1223";"3326";"65-74";224
"1224";"3326";"75 og eldre";212
"1225";"3328";"0-15";814
"1226";"3328";"16-24";570
"1227";"3328";"25-34";563
"1228";"3328";"35-44";553
"1229";"3328";"45-54";652
"1230";"3328";"55-64";666
"1231";"3328";"65-74";623
"1232";"3328";"75 og eldre";566
"1233";"3330";"0-15";646
"1234";"3330";"16-24";437
"1235";"3330";"25-34";498
"1236";"3330";"35-44";599
"1237";"3330";"45-54";564
"1238";"3330";"55-64";647
"1239";"3330";"65-74";592
"1240";"3330";"75 og eldre";513
"1241";"3332";"0-15";500
"1242";"3332";"16-24";365
"1243";"3332";"25-34";318
"1244";"3332";"35-44";386
"1245";"3332";"45-54";492
"1246";"3332";"55-64";529
"1247";"3332";"65-74";509
"1248";"3332";"75 og eldre";427
"1249";"3334";"0-15";472
"1250";"3334";"16-24";275
"1251";"3334";"25-34";307
"1252";"3334";"35-44";347
"1253";"3334";"45-54";354
"1254";"3334";"55-64";374
"1255";"3334";"65-74";347
"1256";"3334";"75 og eldre";305
"1257";"3336";"0-15";210
"1258";"3336";"16-24";118
"1259";"3336";"25-34";136
"1260";"3336";"35-44";156
"1261";"3336";"45-54";169
"1262";"3336";"55-64";194
"1263";"3336";"65-74";218
"1264";"3336";"75 og eldre";194
"1265";"3338";"0-15";349
"1266";"3338";"16-24";248
"1267";"3338";"25-34";266
"1268";"3338";"35-44";259
"1269";"3338";"45-54";321
"1270";"3338";"55-64";394
"1271";"3338";"65-74";347
"1272";"3338";"75 og eldre";302
"1273";"3401";"0-15";2769
"1274";"3401";"16-24";1745
"1275";"3401";"25-34";2009
"1276";"3401";"35-44";1976
"1277";"3401";"45-54";2433
"1278";"3401";"55-64";2575
"1279";"3401";"65-74";2342
"1280";"3401";"75 og eldre";2209
"1281";"3403";"0-15";5317
"1282";"3403";"16-24";3441
"1283";"3403";"25-34";4133
"1284";"3403";"35-44";4118
"1285";"3403";"45-54";4232
"1286";"3403";"55-64";4076
"1287";"3403";"65-74";3886
"1288";"3403";"75 og eldre";3676
"1289";"3405";"0-15";4634
"1290";"3405";"16-24";3466
"1291";"3405";"25-34";3717
"1292";"3405";"35-44";3367
"1293";"3405";"45-54";3585
"1294";"3405";"55-64";3673
"1295";"3405";"65-74";3247
"1296";"3405";"75 og eldre";3079
"1297";"3407";"0-15";4913
"1298";"3407";"16-24";3658
"1299";"3407";"25-34";3964
"1300";"3407";"35-44";3703
"1301";"3407";"45-54";4146
"1302";"3407";"55-64";3936
"1303";"3407";"65-74";3440
"1304";"3407";"75 og eldre";3143
"1305";"3411";"0-15";5963
"1306";"3411";"16-24";3513
"1307";"3411";"25-34";4386
"1308";"3411";"35-44";4431
"1309";"3411";"45-54";4842
"1310";"3411";"55-64";5017
"1311";"3411";"65-74";3911
"1312";"3411";"75 og eldre";3549
"1313";"3412";"0-15";1395
"1314";"3412";"16-24";726
"1315";"3412";"25-34";926
"1316";"3412";"35-44";1050
"1317";"3412";"45-54";997
"1318";"3412";"55-64";1054
"1319";"3412";"65-74";964
"1320";"3412";"75 og eldre";817
"1321";"3413";"0-15";3893
"1322";"3413";"16-24";2041
"1323";"3413";"25-34";2483
"1324";"3413";"35-44";2820
"1325";"3413";"45-54";2860
"1326";"3413";"55-64";2860
"1327";"3413";"65-74";2521
"1328";"3413";"75 og eldre";2127
"1329";"3414";"0-15";667
"1330";"3414";"16-24";479
"1331";"3414";"25-34";485
"1332";"3414";"35-44";502
"1333";"3414";"45-54";704
"1334";"3414";"55-64";789
"1335";"3414";"65-74";715
"1336";"3414";"75 og eldre";651
"1337";"3415";"0-15";1245
"1338";"3415";"16-24";725
"1339";"3415";"25-34";902
"1340";"3415";"35-44";962
"1341";"3415";"45-54";1203
"1342";"3415";"55-64";1217
"1343";"3415";"65-74";1061
"1344";"3415";"75 og eldre";797
"1345";"3416";"0-15";782
"1346";"3416";"16-24";527
"1347";"3416";"25-34";568
"1348";"3416";"35-44";578
"1349";"3416";"45-54";833
"1350";"3416";"55-64";1059
"1351";"3416";"65-74";926
"1352";"3416";"75 og eldre";767
"1353";"3417";"0-15";523
"1354";"3417";"16-24";400
"1355";"3417";"25-34";459
"1356";"3417";"35-44";414
"1357";"3417";"45-54";586
"1358";"3417";"55-64";753
"1359";"3417";"65-74";719
"1360";"3417";"75 og eldre";678
"1361";"3418";"0-15";980
"1362";"3418";"16-24";692
"1363";"3418";"25-34";743
"1364";"3418";"35-44";737
"1365";"3418";"45-54";1034
"1366";"3418";"55-64";1106
"1367";"3418";"65-74";1064
"1368";"3418";"75 og eldre";983
"1369";"3419";"0-15";487
"1370";"3419";"16-24";334
"1371";"3419";"25-34";328
"1372";"3419";"35-44";334
"1373";"3419";"45-54";488
"1374";"3419";"55-64";593
"1375";"3419";"65-74";558
"1376";"3419";"75 og eldre";493
"1377";"3420";"0-15";3624
"1378";"3420";"16-24";2470
"1379";"3420";"25-34";2691
"1380";"3420";"35-44";2610
"1381";"3420";"45-54";2909
"1382";"3420";"55-64";2754
"1383";"3420";"65-74";2475
"1384";"3420";"75 og eldre";2228
"1385";"3421";"0-15";933
"1386";"3421";"16-24";600
"1387";"3421";"25-34";725
"1388";"3421";"35-44";710
"1389";"3421";"45-54";878
"1390";"3421";"55-64";1002
"1391";"3421";"65-74";849
"1392";"3421";"75 og eldre";869
"1393";"3422";"0-15";631
"1394";"3422";"16-24";533
"1395";"3422";"25-34";570
"1396";"3422";"35-44";435
"1397";"3422";"45-54";521
"1398";"3422";"55-64";587
"1399";"3422";"65-74";540
"1400";"3422";"75 og eldre";472
"1401";"3423";"0-15";257
"1402";"3423";"16-24";162
"1403";"3423";"25-34";240
"1404";"3423";"35-44";225
"1405";"3423";"45-54";286
"1406";"3423";"55-64";390
"1407";"3423";"65-74";366
"1408";"3423";"75 og eldre";350
"1409";"3424";"0-15";230
"1410";"3424";"16-24";155
"1411";"3424";"25-34";153
"1412";"3424";"35-44";153
"1413";"3424";"45-54";235
"1414";"3424";"55-64";311
"1415";"3424";"65-74";315
"1416";"3424";"75 og eldre";285
"1417";"3425";"0-15";170
"1418";"3425";"16-24";124
"1419";"3425";"25-34";127
"1420";"3425";"35-44";115
"1421";"3425";"45-54";179
"1422";"3425";"55-64";231
"1423";"3425";"65-74";202
"1424";"3425";"75 og eldre";213
"1425";"3426";"0-15";304
"1426";"3426";"16-24";156
"1427";"3426";"25-34";192
"1428";"3426";"35-44";186
"1429";"3426";"45-54";173
"1430";"3426";"55-64";215
"1431";"3426";"65-74";226
"1432";"3426";"75 og eldre";152
"1433";"3427";"0-15";1002
"1434";"3427";"16-24";624
"1435";"3427";"25-34";621
"1436";"3427";"35-44";683
"1437";"3427";"45-54";716
"1438";"3427";"55-64";702
"1439";"3427";"65-74";762
"1440";"3427";"75 og eldre";582
"1441";"3428";"0-15";496
"1442";"3428";"16-24";271
"1443";"3428";"25-34";251
"1444";"3428";"35-44";290
"1445";"3428";"45-54";307
"1446";"3428";"55-64";366
"1447";"3428";"65-74";295
"1448";"3428";"75 og eldre";250
"1449";"3429";"0-15";214
"1450";"3429";"16-24";134
"1451";"3429";"25-34";138
"1452";"3429";"35-44";145
"1453";"3429";"45-54";194
"1454";"3429";"55-64";242
"1455";"3429";"65-74";221
"1456";"3429";"75 og eldre";244
"1457";"3430";"0-15";256
"1458";"3430";"16-24";190
"1459";"3430";"25-34";211
"1460";"3430";"35-44";185
"1461";"3430";"45-54";253
"1462";"3430";"55-64";300
"1463";"3430";"65-74";262
"1464";"3430";"75 og eldre";234
"1465";"3431";"0-15";365
"1466";"3431";"16-24";222
"1467";"3431";"25-34";264
"1468";"3431";"35-44";253
"1469";"3431";"45-54";303
"1470";"3431";"55-64";358
"1471";"3431";"65-74";366
"1472";"3431";"75 og eldre";372
"1473";"3432";"0-15";311
"1474";"3432";"16-24";225
"1475";"3432";"25-34";202
"1476";"3432";"35-44";180
"1477";"3432";"45-54";251
"1478";"3432";"55-64";268
"1479";"3432";"65-74";309
"1480";"3432";"75 og eldre";237
"1481";"3433";"0-15";291
"1482";"3433";"16-24";218
"1483";"3433";"25-34";193
"1484";"3433";"35-44";216
"1485";"3433";"45-54";291
"1486";"3433";"55-64";298
"1487";"3433";"65-74";319
"1488";"3433";"75 og eldre";315
"1489";"3434";"0-15";339
"1490";"3434";"16-24";219
"1491";"3434";"25-34";212
"1492";"3434";"35-44";238
"1493";"3434";"45-54";281
"1494";"3434";"55-64";327
"1495";"3434";"65-74";322
"1496";"3434";"75 og eldre";274
"1497";"3435";"0-15";555
"1498";"3435";"16-24";358
"1499";"3435";"25-34";357
"1500";"3435";"35-44";380
"1501";"3435";"45-54";463
"1502";"3435";"55-64";500
"1503";"3435";"65-74";466
"1504";"3435";"75 og eldre";452
"1505";"3436";"0-15";865
"1506";"3436";"16-24";575
"1507";"3436";"25-34";543
"1508";"3436";"35-44";564
"1509";"3436";"45-54";711
"1510";"3436";"55-64";863
"1511";"3436";"65-74";709
"1512";"3436";"75 og eldre";756
"1513";"3437";"0-15";878
"1514";"3437";"16-24";592
"1515";"3437";"25-34";585
"1516";"3437";"35-44";614
"1517";"3437";"45-54";760
"1518";"3437";"55-64";798
"1519";"3437";"65-74";805
"1520";"3437";"75 og eldre";724
"1521";"3438";"0-15";496
"1522";"3438";"16-24";286
"1523";"3438";"25-34";333
"1524";"3438";"35-44";333
"1525";"3438";"45-54";438
"1526";"3438";"55-64";459
"1527";"3438";"65-74";397
"1528";"3438";"75 og eldre";377
"1529";"3439";"0-15";697
"1530";"3439";"16-24";380
"1531";"3439";"25-34";465
"1532";"3439";"35-44";536
"1533";"3439";"45-54";572
"1534";"3439";"55-64";627
"1535";"3439";"65-74";555
"1536";"3439";"75 og eldre";581
"1537";"3440";"0-15";874
"1538";"3440";"16-24";477
"1539";"3440";"25-34";559
"1540";"3440";"35-44";633
"1541";"3440";"45-54";684
"1542";"3440";"55-64";737
"1543";"3440";"65-74";602
"1544";"3440";"75 og eldre";558
"1545";"3441";"0-15";940
"1546";"3441";"16-24";596
"1547";"3441";"25-34";665
"1548";"3441";"35-44";709
"1549";"3441";"45-54";852
"1550";"3441";"55-64";921
"1551";"3441";"65-74";716
"1552";"3441";"75 og eldre";778
"1553";"3442";"0-15";2351
"1554";"3442";"16-24";1391
"1555";"3442";"25-34";1649
"1556";"3442";"35-44";1685
"1557";"3442";"45-54";2090
"1558";"3442";"55-64";2157
"1559";"3442";"65-74";1822
"1560";"3442";"75 og eldre";1695
"1561";"3443";"0-15";2133
"1562";"3443";"16-24";1416
"1563";"3443";"25-34";1775
"1564";"3443";"35-44";1525
"1565";"3443";"45-54";1950
"1566";"3443";"55-64";1838
"1567";"3443";"65-74";1555
"1568";"3443";"75 og eldre";1499
"1569";"3446";"0-15";2089
"1570";"3446";"16-24";1373
"1571";"3446";"25-34";1389
"1572";"3446";"35-44";1545
"1573";"3446";"45-54";1971
"1574";"3446";"55-64";2045
"1575";"3446";"65-74";1665
"1576";"3446";"75 og eldre";1516
"1577";"3447";"0-15";808
"1578";"3447";"16-24";523
"1579";"3447";"25-34";568
"1580";"3447";"35-44";614
"1581";"3447";"45-54";758
"1582";"3447";"55-64";904
"1583";"3447";"65-74";791
"1584";"3447";"75 og eldre";621
"1585";"3448";"0-15";1032
"1586";"3448";"16-24";576
"1587";"3448";"25-34";713
"1588";"3448";"35-44";681
"1589";"3448";"45-54";899
"1590";"3448";"55-64";985
"1591";"3448";"65-74";883
"1592";"3448";"75 og eldre";741
"1593";"3449";"0-15";403
"1594";"3449";"16-24";260
"1595";"3449";"25-34";279
"1596";"3449";"35-44";298
"1597";"3449";"45-54";359
"1598";"3449";"55-64";455
"1599";"3449";"65-74";397
"1600";"3449";"75 og eldre";385
"1601";"3450";"0-15";213
"1602";"3450";"16-24";134
"1603";"3450";"25-34";141
"1604";"3450";"35-44";137
"1605";"3450";"45-54";179
"1606";"3450";"55-64";210
"1607";"3450";"65-74";166
"1608";"3450";"75 og eldre";186
"1609";"3451";"0-15";1013
"1610";"3451";"16-24";654
"1611";"3451";"25-34";756
"1612";"3451";"35-44";733
"1613";"3451";"45-54";889
"1614";"3451";"55-64";872
"1615";"3451";"65-74";880
"1616";"3451";"75 og eldre";765
"1617";"3452";"0-15";312
"1618";"3452";"16-24";217
"1619";"3452";"25-34";239
"1620";"3452";"35-44";229
"1621";"3452";"45-54";280
"1622";"3452";"55-64";325
"1623";"3452";"65-74";276
"1624";"3452";"75 og eldre";234
"1625";"3453";"0-15";507
"1626";"3453";"16-24";304
"1627";"3453";"25-34";389
"1628";"3453";"35-44";389
"1629";"3453";"45-54";434
"1630";"3453";"55-64";489
"1631";"3453";"65-74";411
"1632";"3453";"75 og eldre";375
"1633";"3454";"0-15";281
"1634";"3454";"16-24";154
"1635";"3454";"25-34";163
"1636";"3454";"35-44";224
"1637";"3454";"45-54";218
"1638";"3454";"55-64";215
"1639";"3454";"65-74";195
"1640";"3454";"75 og eldre";195
"1641";"3901";"0-15";4570
"1642";"3901";"16-24";3000
"1643";"3901";"25-34";3126
"1644";"3901";"35-44";3452
"1645";"3901";"45-54";3784
"1646";"3901";"55-64";3865
"1647";"3901";"65-74";3169
"1648";"3901";"75 og eldre";2973
"1649";"3903";"0-15";4676
"1650";"3903";"16-24";2563
"1651";"3903";"25-34";3310
"1652";"3903";"35-44";3491
"1653";"3903";"45-54";3766
"1654";"3903";"55-64";3548
"1655";"3903";"65-74";3054
"1656";"3903";"75 og eldre";2464
"1657";"3905";"0-15";10152
"1658";"3905";"16-24";6087
"1659";"3905";"25-34";7715
"1660";"3905";"35-44";7922
"1661";"3905";"45-54";8007
"1662";"3905";"55-64";7772
"1663";"3905";"65-74";6131
"1664";"3905";"75 og eldre";5388
"1665";"3907";"0-15";11549
"1666";"3907";"16-24";6776
"1667";"3907";"25-34";7731
"1668";"3907";"35-44";8629
"1669";"3907";"45-54";9219
"1670";"3907";"55-64";8791
"1671";"3907";"65-74";7133
"1672";"3907";"75 og eldre";6403
"1673";"3909";"0-15";8092
"1674";"3909";"16-24";4728
"1675";"3909";"25-34";5256
"1676";"3909";"35-44";6182
"1677";"3909";"45-54";6566
"1678";"3909";"55-64";6629
"1679";"3909";"65-74";6090
"1680";"3909";"75 og eldre";5172
"1681";"3911";"0-15";4728
"1682";"3911";"16-24";2689
"1683";"3911";"25-34";2581
"1684";"3911";"35-44";3348
"1685";"3911";"45-54";3661
"1686";"3911";"55-64";3998
"1687";"3911";"65-74";3493
"1688";"3911";"75 og eldre";3003
"1689";"4001";"0-15";6168
"1690";"4001";"16-24";3802
"1691";"4001";"25-34";4657
"1692";"4001";"35-44";4599
"1693";"4001";"45-54";5179
"1694";"4001";"55-64";4938
"1695";"4001";"65-74";4173
"1696";"4001";"75 og eldre";3677
"1697";"4003";"0-15";9807
"1698";"4003";"16-24";5784
"1699";"4003";"25-34";6844
"1700";"4003";"35-44";7233
"1701";"4003";"45-54";7712
"1702";"4003";"55-64";7345
"1703";"4003";"65-74";6320
"1704";"4003";"75 og eldre";5574
"1705";"4005";"0-15";2189
"1706";"4005";"16-24";1326
"1707";"4005";"25-34";1576
"1708";"4005";"35-44";1580
"1709";"4005";"45-54";1707
"1710";"4005";"55-64";1842
"1711";"4005";"65-74";1604
"1712";"4005";"75 og eldre";1442
"1713";"4010";"0-15";431
"1714";"4010";"16-24";215
"1715";"4010";"25-34";262
"1716";"4010";"35-44";291
"1717";"4010";"45-54";315
"1718";"4010";"55-64";313
"1719";"4010";"65-74";281
"1720";"4010";"75 og eldre";274
"1721";"4012";"0-15";2335
"1722";"4012";"16-24";1503
"1723";"4012";"25-34";1532
"1724";"4012";"35-44";1661
"1725";"4012";"45-54";1860
"1726";"4012";"55-64";2005
"1727";"4012";"65-74";1809
"1728";"4012";"75 og eldre";1564
"1729";"4014";"0-15";1569
"1730";"4014";"16-24";974
"1731";"4014";"25-34";1034
"1732";"4014";"35-44";1136
"1733";"4014";"45-54";1448
"1734";"4014";"55-64";1510
"1735";"4014";"65-74";1449
"1736";"4014";"75 og eldre";1325
"1737";"4016";"0-15";675
"1738";"4016";"16-24";446
"1739";"4016";"25-34";413
"1740";"4016";"35-44";446
"1741";"4016";"45-54";576
"1742";"4016";"55-64";572
"1743";"4016";"65-74";521
"1744";"4016";"75 og eldre";437
"1745";"4018";"0-15";1042
"1746";"4018";"16-24";665
"1747";"4018";"25-34";716
"1748";"4018";"35-44";710
"1749";"4018";"45-54";879
"1750";"4018";"55-64";974
"1751";"4018";"65-74";833
"1752";"4018";"75 og eldre";720
"1753";"4020";"0-15";1885
"1754";"4020";"16-24";1331
"1755";"4020";"25-34";1391
"1756";"4020";"35-44";1380
"1757";"4020";"45-54";1381
"1758";"4020";"55-64";1296
"1759";"4020";"65-74";1159
"1760";"4020";"75 og eldre";1081
"1761";"4022";"0-15";508
"1762";"4022";"16-24";313
"1763";"4022";"25-34";275
"1764";"4022";"35-44";336
"1765";"4022";"45-54";402
"1766";"4022";"55-64";393
"1767";"4022";"65-74";401
"1768";"4022";"75 og eldre";351
"1769";"4024";"0-15";281
"1770";"4024";"16-24";167
"1771";"4024";"25-34";166
"1772";"4024";"35-44";164
"1773";"4024";"45-54";206
"1774";"4024";"55-64";218
"1775";"4024";"65-74";206
"1776";"4024";"75 og eldre";222
"1777";"4026";"0-15";751
"1778";"4026";"16-24";552
"1779";"4026";"25-34";521
"1780";"4026";"35-44";577
"1781";"4026";"45-54";809
"1782";"4026";"55-64";826
"1783";"4026";"65-74";817
"1784";"4026";"75 og eldre";680
"1785";"4028";"0-15";368
"1786";"4028";"16-24";219
"1787";"4028";"25-34";239
"1788";"4028";"35-44";266
"1789";"4028";"45-54";333
"1790";"4028";"55-64";411
"1791";"4028";"65-74";333
"1792";"4028";"75 og eldre";289
"1793";"4030";"0-15";255
"1794";"4030";"16-24";133
"1795";"4030";"25-34";120
"1796";"4030";"35-44";157
"1797";"4030";"45-54";204
"1798";"4030";"55-64";207
"1799";"4030";"65-74";228
"1800";"4030";"75 og eldre";167
"1801";"4032";"0-15";200
"1802";"4032";"16-24";120
"1803";"4032";"25-34";121
"1804";"4032";"35-44";135
"1805";"4032";"45-54";178
"1806";"4032";"55-64";190
"1807";"4032";"65-74";174
"1808";"4032";"75 og eldre";138
"1809";"4034";"0-15";349
"1810";"4034";"16-24";216
"1811";"4034";"25-34";254
"1812";"4034";"35-44";216
"1813";"4034";"45-54";290
"1814";"4034";"55-64";339
"1815";"4034";"65-74";308
"1816";"4034";"75 og eldre";240
"1817";"4036";"0-15";676
"1818";"4036";"16-24";337
"1819";"4036";"25-34";468
"1820";"4036";"35-44";452
"1821";"4036";"45-54";480
"1822";"4036";"55-64";538
"1823";"4036";"65-74";475
"1824";"4036";"75 og eldre";425
"1825";"4201";"0-15";1024
"1826";"4201";"16-24";675
"1827";"4201";"25-34";637
"1828";"4201";"35-44";709
"1829";"4201";"45-54";971
"1830";"4201";"55-64";964
"1831";"4201";"65-74";1007
