"";"Region";"aldersgruppe";"value"
"191";"1114";"65-74";297
"192";"1114";"75 og eldre";195
"193";"1119";"0-15";4471
"194";"1119";"16-24";2296
"195";"1119";"25-34";2478
"196";"1119";"35-44";2754
"197";"1119";"45-54";2504
"198";"1119";"55-64";2190
"199";"1119";"65-74";1760
"200";"1119";"75 og eldre";1374
"201";"1120";"0-15";4476
"202";"1120";"16-24";2433
"203";"1120";"25-34";2997
"204";"1120";"35-44";3012
"205";"1120";"45-54";2822
"206";"1120";"55-64";2280
"207";"1120";"65-74";1507
"208";"1120";"75 og eldre";1373
"209";"1121";"0-15";4238
"210";"1121";"16-24";2192
"211";"1121";"25-34";2727
"212";"1121";"35-44";2827
"213";"1121";"45-54";2563
"214";"1121";"55-64";2173
"215";"1121";"65-74";1816
"216";"1121";"75 og eldre";1374
"217";"1122";"0-15";2901
"218";"1122";"16-24";1279
"219";"1122";"25-34";1595
"220";"1122";"35-44";1906
"221";"1122";"45-54";1599
"222";"1122";"55-64";1428
"223";"1122";"65-74";975
"224";"1122";"75 og eldre";679
"225";"1124";"0-15";6060
"226";"1124";"16-24";3097
"227";"1124";"25-34";3813
"228";"1124";"35-44";4491
"229";"1124";"45-54";3795
"230";"1124";"55-64";3337
"231";"1124";"65-74";2253
"232";"1124";"75 og eldre";1839
"233";"1127";"0-15";2393
"234";"1127";"16-24";1401
"235";"1127";"25-34";1500
"236";"1127";"35-44";1550
"237";"1127";"45-54";1524
"238";"1127";"55-64";1456
"239";"1127";"65-74";1001
"240";"1127";"75 og eldre";917
"241";"1130";"0-15";2965
"242";"1130";"16-24";1552
"243";"1130";"25-34";1671
"244";"1130";"35-44";1866
"245";"1130";"45-54";1787
"246";"1130";"55-64";1502
"247";"1130";"65-74";1265
"248";"1130";"75 og eldre";1095
"249";"1133";"0-15";509
"250";"1133";"16-24";275
"251";"1133";"25-34";269
"252";"1133";"35-44";333
"253";"1133";"45-54";305
"254";"1133";"55-64";337
"255";"1133";"65-74";331
"256";"1133";"75 og eldre";284
"257";"1134";"0-15";765
"258";"1134";"16-24";408
"259";"1134";"25-34";386
"260";"1134";"35-44";447
"261";"1134";"45-54";484
"262";"1134";"55-64";507
"263";"1134";"65-74";472
"264";"1134";"75 og eldre";420
"265";"1135";"0-15";837
"266";"1135";"16-24";453
"267";"1135";"25-34";469
"268";"1135";"35-44";586
"269";"1135";"45-54";579
"270";"1135";"55-64";622
"271";"1135";"65-74";536
"272";"1135";"75 og eldre";490
"273";"1144";"0-15";98
"274";"1144";"16-24";55
"275";"1144";"25-34";50
"276";"1144";"35-44";53
"277";"1144";"45-54";71
"278";"1144";"55-64";85
"279";"1144";"65-74";59
"280";"1144";"75 og eldre";73
"281";"1145";"0-15";142
"282";"1145";"16-24";107
"283";"1145";"25-34";92
"284";"1145";"35-44";94
"285";"1145";"45-54";127
"286";"1145";"55-64";113
"287";"1145";"65-74";107
"288";"1145";"75 og eldre";101
"289";"1146";"0-15";2531
"290";"1146";"16-24";1317
"291";"1146";"25-34";1332
"292";"1146";"35-44";1560
"293";"1146";"45-54";1494
"294";"1146";"55-64";1320
"295";"1146";"65-74";1064
"296";"1146";"75 og eldre";952
"297";"1149";"0-15";8608
"298";"1149";"16-24";4710
"299";"1149";"25-34";5342
"300";"1149";"35-44";5616
"301";"1149";"45-54";5867
"302";"1149";"55-64";5183
"303";"1149";"65-74";4276
"304";"1149";"75 og eldre";3704
"305";"1151";"0-15";36
"306";"1151";"16-24";20
"307";"1151";"25-34";15
"308";"1151";"35-44";31
"309";"1151";"45-54";26
"310";"1151";"55-64";40
"311";"1151";"65-74";27
